date,product_id,sales_amount,store_location
2030-01-01,P001,600,New York
2030-01-02,P003,450,Los Angeles
2030-01-03,P002,300,Chicago
2030-01-04,P001,750,Houston
2030-01-05,P004,200,Seattle
2030-01-06,P003,650,Chicago
2030-01-07,P005,850,New York
2030-01-08,P002,500,Los Angeles
2030-01-09,P001,750,Houston
2030-01-10,P005,950,Seattle
2030-01-11,P003,300,Chicago
2030-01-12,P004,400,New York
2030-01-13,P001,700,Los Angeles
2030-01-14,P002,450,Chicago
2030-01-15,P005,350,Seattle
2030-01-16,P001,550,Houston
2030-01-17,P002,600,New York
2030-01-18,P003,750,Los Angeles
2030-01-19,P004,200,Seattle
2030-01-20,P003,650,Chicago
2030-01-21,P005,850,Houston
2030-01-22,P001,900,New York
2030-01-23,P002,250,Los Angeles
2030-01-24,P005,950,Chicago
2030-01-25,P004,700,Seattle
2030-01-26,P003,500,Houston
2030-01-27,P001,750,New York
2030-01-28,P004,300,Los Angeles
2030-01-29,P002,400,Seattle
2030-01-30,P005,950,Chicago
2030-01-31,P003,650,Los Angeles
2030-02-01,P001,850,Houston
2030-02-02,P002,500,Seattle
2030-02-03,P003,300,Chicago
2030-02-04,P005,900,New York
2030-02-05,P004,200,Los Angeles
2030-02-06,P002,450,Houston
2030-02-07,P001,700,Seattle
2030-02-08,P004,950,Chicago
2030-02-09,P005,750,Houston
2030-02-10,P003,400,New York
2030-02-11,P001,650,Chicago
2030-02-12,P005,550,Seattle
2030-02-13,P002,800,Los Angeles
2030-02-14,P004,500,Houston
2030-02-15,P001,300,New York
2030-02-16,P003,950,Los Angeles
2030-02-17,P002,400,Chicago
2030-02-18,P005,750,Seattle
2030-02-19,P001,200,Houston
2030-02-20,P003,650,New York
2030-02-21,P004,900,Chicago
2030-02-22,P005,950,Los Angeles
2030-02-23,P002,300,New York
2030-02-24,P003,500,Seattle
2030-02-25,P001,700,Houston
2030-02-26,P005,850,Chicago
2030-02-27,P004,250,Los Angeles
2030-02-28,P002,900,New York
2030-03-01,P001,400,Houston
2030-03-02,P003,950,Los Angeles
2030-03-03,P004,700,Seattle
2030-03-04,P005,350,New York
2030-03-05,P002,500,Chicago
2030-03-06,P001,800,Los Angeles
2030-03-07,P003,400,Houston
2030-03-08,P004,750,New York
2030-03-09,P005,600,Seattle
2030-03-10,P002,100,Los Angeles
2030-03-11,P001,300,Chicago
2030-03-12,P004,900,Houston
2030-03-13,P002,450,Seattle
2030-03-14,P005,950,Los Angeles
2030-03-15,P003,600,New York
2030-03-16,P001,700,Chicago
2030-03-17,P002,400,Houston
2030-03-18,P005,900,Seattle
2030-03-19,P004,750,Los Angeles
2030-03-20,P003,200,New York
2030-03-21,P002,300,Seattle
2030-03-22,P001,950,Houston
2030-03-23,P003,450,Chicago
2030-03-24,P004,700,New York
2030-03-25,P005,850,Los Angeles
2030-03-26,P002,650,Seattle
2030-03-27,P003,250,Houston
2030-03-28,P001,900,Chicago
2030-03-29,P004,100,New York
2030-03-30,P002,600,Los Angeles
2030-03-31,P005,400,Chicago
2030-04-01,P001,300,Houston
2030-04-02,P003,900,Seattle
2030-04-03,P004,850,Chicago
2030-04-04,P002,200,New York
2030-04-05,P005,550,Los Angeles
2030-04-06,P001,950,Houston
2030-04-07,P003,500,Seattle
2030-04-08,P004,700,New York
2030-04-09,P001,350,Los Angeles
2030-04-10,P005,100,Chicago

